fid,new,SAMPLE_1,SAMPLE_1_2,SAMPLE_1_3,SAMPLE_1_4,SAMPLE_1_5,SAMPLE_1_6,SAMPLE_1_7,SAMPLE_1_8,SAMPLE_1_9,SAMPLE_1_10,SAMPLE_1_11
1,forest,1217,1198,1346,1243,1613,2957,3447,3821,3835,2577,1777
2,forest,1150,1148,1296,1171,1557,2917,3419,3823,3855,2472,1628
3,forest,1157,1171,1305,1186,1525,2818,3255,3534,3633,2125,1509
4,forest,1155,1149,1292,1163,1517,2962,3466,3780,3746,2234,1526
5,forest,1157,1172,1355,1186,1620,3172,3693,4008,4000,2453,1615
6,forest,1160,1172,1320,1190,1568,3157,3738,4078,4088,2563,1659
7,forest,1173,1199,1366,1238,1647,3242,3797,4128,4179,2626,1761
8,forest,1135,1133,1266,1150,1481,3033,3603,3938,3894,2214,1526
9,forest,1164,1172,1330,1182,1625,3764,4582,5025,4994,2643,1671
10,forest,1165,1176,1334,1185,1644,3850,4654,5035,5046,2841,1737
11,forest,1174,1186,1342,1185,1636,3839,4705,5073,5077,2801,1724
12,forest,1154,1154,1302,1161,1548,3372,4098,4450,4559,2484,1609
13,forest,1162,1167,1301,1174,1534,3095,3636,3911,3944,2356,1579
14,forest,1167,1173,1330,1179,1615,3572,4260,4628,4538,2592,1667
15,forest,1157,1164,1297,1172,1547,3340,4013,4333,4397,2523,1622
16,forest,1150,1165,1328,1179,1591,3665,4487,4888,4939,2586,1661
17,forest,1151,1165,1320,1183,1602,3572,4337,4758,4798,2599,1657
18,forest,1156,1169,1322,1191,1608,3503,4327,4769,4881,2657,1682
19,forest,1177,1169,1297,1181,1546,3112,3720,4119,4236,2522,1626
20,forest,1155,1163,1302,1180,1566,3064,3655,4045,4118,2419,1582
21,forest,1152,1157,1276,1163,1517,3257,3958,4317,4349,2548,1628
22,forest,1166,1170,1303,1191,1554,3140,3750,4109,4162,2546,1662
23,forest,1160,1161,1301,1177,1524,3290,4020,4387,4480,2515,1631
24,forest,1174,1179,1330,1196,1590,3267,3894,4197,4285,2495,1645
25,forest,1166,1171,1299,1182,1534,3054,3583,3924,3939,2383,1576
26,forest,1169,1178,1313,1188,1533,3084,3636,3940,3973,2405,1588
27,forest,1172,1161,1301,1175,1490,2822,3277,3526,3632,2187,1516
28,forest,1173,1174,1326,1184,1552,2946,3399,3686,3738,2294,1565
29,forest,1169,1174,1338,1195,1603,3208,3746,4104,4138,2530,1649
30,forest,1175,1172,1322,1187,1566,3049,3551,3823,3892,2448,1634
31,water,1371,1418,1627,1326,1285,1110,1101,1074,1040,1034,1031
32,water,1362,1405,1635,1301,1247,1096,1095,1068,1027,1016,1019
33,water,1334,1370,1587,1273,1216,1086,1083,1058,1014,1015,1011
34,water,1330,1364,1567,1259,1211,1086,1083,1055,1006,1019,1014
35,water,1314,1351,1548,1231,1182,1072,1082,1049,1025,1013,1012
36,water,1318,1353,1568,1280,1234,1082,1085,1054,1015,1014,1012
37,water,1337,1389,1644,1334,1278,1090,1094,1063,1015,1012,1019
38,water,1337,1378,1585,1261,1198,1073,1076,1047,1014,1013,1008
39,water,1327,1363,1591,1242,1180,1065,1069,1045,1009,1018,1013
40,water,1343,1393,1637,1281,1214,1076,1073,1050,1014,1016,1014
41,water,1349,1401,1650,1314,1251,1090,1088,1058,1013,1018,1018
42,water,1350,1407,1661,1296,1224,1076,1078,1050,1007,1015,1012
43,water,1334,1373,1593,1273,1218,1082,1080,1053,1013,1015,1013
44,water,1371,1419,1663,1309,1242,1095,1096,1063,1014,1025,1018
45,water,1335,1366,1580,1277,1231,1078,1081,1059,1013,1012,1014
