fid,new1,SAMPLE_1,SAMPLE_1_2,SAMPLE_1_3,SAMPLE_1_4,SAMPLE_1_5,SAMPLE_1_6,SAMPLE_1_7,SAMPLE_1_8,SAMPLE_1_9,SAMPLE_1_10,SAMPLE_1_11
1,water,1581,1719,1889,1833,1895,1555,1589,1393,1002,1030,1019
2,water,1454,1464,1606,1518,1489,1172,1176,1090,1144,1055,1060
3,water,1341,1358,1464,1336,1305,1126,1129,1082,1007,1018,1020
4,water,1278,1273,1398,1244,1286,1108,1111,1073,1013,1014,1016
5,water,1400,1395,1551,1432,1460,1120,1115,1060,1206,1069,1069
6,water,1442,1470,1631,1509,1532,1226,1229,1138,1052,1016,1020
7,water,1483,1510,1673,1604,1612,1276,1289,1166,1138,1041,1041
8,water,1402,1393,1513,1422,1422,1144,1153,1080,1106,1026,1039
9,water,1280,1258,1322,1191,1170,1036,1041,1017,1006,1014,1018
10,water,1344,1269,1355,1255,1294,1128,1130,1088,1219,1050,1050
11,water,1385,1391,1483,1440,1466,1217,1229,1130,1069,1011,1026
12,water,1389,1379,1481,1492,1537,1364,1395,1284,1111,1018,1023
13,water,1242,1220,1305,1188,1210,1075,1075,1044,985,1005,1007
14,water,1290,1308,1439,1385,1439,1173,1180,1093,995,1007,1009
15,water,1344,1364,1454,1374,1362,1153,1162,1093,1002,1012,1011
16,water,1336,1341,1454,1310,1287,1107,1111,1072,1014,1016,1013
17,water,1277,1262,1382,1270,1307,1100,1102,1046,966,1004,1005
18,water,1241,1208,1280,1161,1165,1066,1066,1043,1008,1013,1017
19,water,1248,1221,1303,1171,1159,1061,1060,1043,989,1010,1015
20,water,1345,1301,1368,1234,1215,1064,1055,1032,1169,1059,1064
21,water,1283,1265,1377,1258,1286,1080,1083,1037,1011,1008,1013
22,water,1268,1241,1312,1172,1141,1056,1059,1038,1017,1013,1014
23,water,1297,1252,1392,1240,1272,1081,1075,1049,1200,1068,1068
24,water,1271,1234,1377,1218,1242,1080,1088,1065,1072,1034,1034
25,water,1253,1253,1435,1252,1269,1067,1065,1042,1058,1031,1037
26,water,1252,1226,1363,1208,1249,1097,1093,1062,1013,1021,1019
27,water,1255,1237,1406,1227,1236,1067,1067,1037,988,1017,1016
28,water,1247,1247,1404,1239,1259,1081,1076,1050,1067,1036,1036
29,water,1248,1226,1382,1220,1243,1085,1086,1050,1021,1025,1022
30,water,1265,1240,1386,1222,1248,1083,1079,1053,1044,1030,1031
31,water,1259,1230,1352,1222,1269,1097,1100,1062,1013,1018,1017
32,water,1250,1220,1334,1210,1251,1090,1087,1063,1014,1018,1016
33,water,1266,1244,1370,1233,1271,1099,1101,1067,1008,1021,1017
34,water,1248,1221,1326,1210,1251,1094,1091,1062,1011,1019,1019
35,water,1349,1320,1451,1287,1308,1132,1133,1101,1238,1088,1082
36,water,1311,1284,1423,1265,1297,1100,1089,1059,1122,1054,1051
37,water,1219,1205,1375,1209,1229,1053,1053,1036,1048,1022,1028
38,water,1333,1268,1425,1263,1284,1108,1117,1093,1178,1056,1067
39,water,1250,1217,1328,1216,1266,1109,1105,1067,1052,1029,1032
40,water,1276,1252,1341,1228,1280,1105,1101,1060,1052,1030,1029
41,water,1270,1256,1384,1243,1298,1113,1111,1070,1007,1024,1022
42,water,1242,1214,1312,1196,1259,1095,1099,1064,987,1017,1018
43,water,1238,1211,1302,1207,1262,1106,1099,1066,1033,1026,1024
44,water,1217,1198,1292,1187,1245,1081,1077,1049,998,1017,1016
45,water,1280,1258,1402,1252,1280,1100,1096,1059,1083,1039,1038
46,water,1336,1309,1502,1309,1329,1118,1119,1091,1242,1079,1079
47,water,1335,1330,1516,1304,1335,1111,1107,1078,1251,1088,1094
48,water,1285,1268,1419,1262,1317,1117,1117,1077,1096,1047,1043
49,water,1335,1380,1587,1327,1344,1105,1100,1071,1195,1079,1080
50,water,1288,1259,1402,1246,1274,1113,1118,1085,1107,1039,1042
51,water,1233,1215,1321,1204,1258,1093,1097,1062,1031,1026,1019
52,water,1287,1204,1315,1211,1264,1098,1104,1088,1199,1048,1068
53,water,1220,1201,1308,1198,1263,1095,1101,1061,1013,1015,1018
54,water,1277,1255,1411,1252,1288,1117,1110,1081,1028,1026,1011
55,water,1289,1258,1361,1235,1277,1116,1116,1084,1064,1034,1033
56,water,1271,1239,1357,1236,1284,1059,1050,1021,1050,1043,1048
57,water,1273,1248,1391,1239,1272,1086,1088,1056,1051,1028,1030
58,water,1262,1252,1417,1239,1304,1107,1101,1066,1001,1017,1014
59,water,1276,1263,1424,1252,1301,1084,1085,1040,1031,1027,1032
60,water,1330,1272,1411,1270,1306,1083,1068,1039,1224,1069,1074
61,water,1228,1184,1288,1203,1249,1062,1065,1033,1106,1031,1042
62,water,1287,1259,1370,1236,1294,1094,1091,1062,1170,1057,1060
63,water,1260,1260,1347,1243,1307,1079,1073,1041,1162,1062,1071
64,water,1395,1414,1561,1353,1432,1187,1168,1121,1365,1141,1116
65,water,1317,1301,1422,1252,1321,1093,1082,1052,1168,1061,1069
66,water,1269,1245,1346,1226,1296,1108,1108,1067,1042,1031,1029
67,water,1298,1271,1362,1243,1309,1101,1091,1056,1102,1050,1052
68,water,1338,1404,1466,1322,1392,1164,1153,1109,1268,1119,1103
69,water,1318,1270,1374,1260,1326,1108,1103,1069,1188,1062,1068
70,water,1441,1529,1572,1401,1460,1220,1199,1153,1449,1161,1138
71,water,1479,1401,1476,1364,1437,1214,1207,1178,1638,1154,1170
72,water,1419,1333,1422,1349,1398,1188,1162,1131,1520,1143,1148
73,water,1327,1280,1360,1261,1322,1104,1086,1057,1178,1063,1071
74,water,1305,1251,1327,1250,1318,1121,1113,1068,1159,1065,1064
75,water,1349,1290,1371,1266,1324,1115,1109,1072,1232,1078,1091
76,water,1278,1280,1480,1278,1342,1128,1126,1085,1052,1032,1021
77,water,1252,1229,1322,1221,1289,1111,1114,1070,1014,1020,1017
78,water,1256,1250,1409,1243,1306,1111,1108,1063,1009,1018,1017
79,water,1261,1261,1471,1264,1322,1099,1102,1062,995,1012,1013
80,water,1247,1227,1328,1213,1277,1105,1104,1062,1013,1015,1010
81,water,1254,1237,1334,1226,1293,1112,1111,1065,1014,1020,1013
82,water,1258,1228,1317,1215,1285,1115,1109,1072,1036,1021,1021
83,water,1276,1271,1388,1253,1334,1128,1130,1081,1032,1028,1032
84,water,1273,1266,1370,1263,1336,1131,1126,1084,1014,1013,1016
85,water,1265,1253,1354,1241,1307,1111,1114,1066,1013,1011,1014
86,water,1239,1217,1331,1207,1275,1095,1096,1064,1012,1013,1014
87,water,1252,1242,1401,1229,1289,1097,1095,1052,1003,1014,1010
88,water,1205,1215,1345,1212,1281,1099,1102,1059,1014,1016,1010
89,water,1215,1222,1378,1226,1278,1096,1098,1054,990,1010,1008
90,water,1246,1225,1364,1210,1265,1087,1085,1051,989,1010,1010
91,water,1247,1229,1343,1216,1283,1097,1098,1059,986,1011,1011
92,water,1217,1243,1413,1230,1306,1098,1101,1068,1014,1011,1008
93,water,1210,1245,1425,1236,1309,1110,1109,1062,1012,1013,1016
94,water,1201,1218,1358,1219,1285,1110,1104,1064,1014,1014,1014
95,water,1188,1207,1336,1224,1299,1113,1126,1073,1013,1016,1015
96,water,1214,1234,1407,1228,1298,1085,1094,1052,1000,1015,1011
97,water,1208,1226,1395,1225,1267,1086,1082,1040,989,1012,1010
